fips,2010,2011,2012,2013,2014
17115,110757,110582,110043,109435,108350
17117,47784,47807,47208,46892,46453
17119,269341,268500,268039,267247,266560
17121,39455,39014,38923,38646,38571
17123,12630,12508,12301,12140,12014
17125,14645,14475,14339,14187,13898
17127,15400,15312,15143,14980,14905
17129,12693,12709,12709,12608,12570
17131,16425,16350,16176,16123,15945
17133,33009,33233,33331,33570,33722
17135,30095,29839,29725,29671,29359
17137,35553,35561,35279,35038,34929
17139,14853,14916,14973,14903,14837
17141,53448,53160,52839,52377,52085
17143,186270,186675,187193,188529,187319
17145,22331,22236,22070,21861,21672
17147,16712,16672,16507,16440,16431
17149,16400,16377,16279,16142,16022
17151,4460,4452,4289,4332,4276
17153,6140,6007,5971,5904,5815
17155,5994,5968,5875,5825,5814
17157,33456,33269,32947,32915,32869
17159,16207,16219,16165,16068,16061
17161,147632,147256,147065,146804,146063
17163,270406,270088,268785,267065,265729
17165,24937,24959,24981,24892,24612
17167,197833,198925,199247,199037,198997
17169,7545,7485,7486,7425,7330
17171,5335,5232,5295,5234,5204
17173,22344,22290,22233,22164,22048
17175,5967,5839,5937,5883,5813
17177,47680,47396,46973,46782,46435
17179,135447,135742,136094,136372,135707
17181,17760,17702,17632,17559,17447
17183,81595,81358,80764,80418,79728
17185,11933,11829,11716,11624,11549
17187,17716,17843,17785,17704,17874
17189,14699,14586,14611,14404,14337
17191,16736,16620,16621,16616,16543
17193,14642,14622,14582,14526,14374
17195,58472,58151,57627,57274,56876
17197,678828,680400,682187,683708,685419
17199,66433,66741,66770,67088,67008
17201,295151,293667,291923,290845,288542
17203,38640,38913,38925,39155,39187
18001,34435,34351,34401,34685,34791
18003,355857,358745,360832,363596,365918
18005,76848,77621,78903,79549,80217
18007,8883,8883,8834,8748,8700
18009,12763,12680,12548,12490,12401
18011,56836,57886,59076,60519,61915
18013,15209,15075,15068,15054,14962
18015,20161,20066,20096,20096,19923
18017,39002,38920,38746,38542,38438
18019,110547,111534,111919,112800,114262
18021,26870,26902,26855,26797,26562
18023,33203,33043,32957,32958,32776
18025,10714,10606,10645,10611,10655
18027,31713,31918,32116,32303,32729
18029,50093,50020,49782,49799,49506
18031,25795,25895,26083,26262,26524
18033,42254,42413,42255,42302,42383
18035,117672,117797,117309,117355,117074
18037,41898,42193,42094,42318,42345
18039,197441,198480,199236,200591,201971
18041,24341,24163,23965,23839,23468
18043,74660,74975,75284,76059,76179
18045,17258,17130,17100,16863,16658
18047,23056,22997,22986,22929,22934
18049,20820,20751,20664,20455,20500
18051,33527,33540,33551,33554,33759
18053,70002,69669,69283,69044,68569
18055,33197,33119,33029,32817,32726
18057,276377,283213,289570,296828,302623
18059,70182,70360,70641,71096,71978
18061,39365,39237,39099,39082,39299
18063,145849,148613,150722,153644,156056
18065,49474,49343,49259,49066,48995
18067,82766,82888,82973,82961,82982
18069,37096,37171,36979,36841,36706
18071,42584,42920,42990,43436,43705
18073,33502,33402,33453,33381,33475
18075,21176,21376,21370,21296,21179
18077,32425,32298,32506,32511,32494
18079,28465,28196,28182,28272,28000
18081,140274,141767,143562,145806,147538
18083,38383,38468,38051,38064,37938
18085,77346,77389,77654,77997,78564
18087,37168,37491,37635,38067,38436
18089,496055,494820,493194,491403,490228
18091,111421,111187,111158,111256,111444
18093,46138,46088,46045,45873,45704
18095,131665,131051,130284,130370,130069
18097,904710,910798,918581,928349,934243
18099,47008,46981,47025,47037,47107
18101,10376,10338,10322,10230,10203
18103,36795,36585,36502,36133,35954
18105,138520,140339,141289,142020,143339
18107,38096,38343,38202,38130,38146
18109,69156,69206,69216,69446,69693
18111,14257,14129,14079,14079,14156
18113,47471,47460,47424,47511,47618
18115,6108,6084,6103,6035,6035
18117,19815,19916,19696,19727,19626
18119,21587,21516,21363,21170,20969
18121,17299,17123,17112,17234,17233
18123,19419,19469,19429,19488,19454
18125,12847,12755,12774,12666,12624
18127,164491,165442,165659,166427,167076
18129,25855,25680,25616,25515,25540
18131,13345,13280,13053,13004,12967
18133,37928,37882,37681,37532,37618
18135,26165,26005,25835,25616,25384
18137,28815,28719,28529,28443,28497
18139,17367,17317,17134,17025,16892
18141,266784,266756,266571,266850,267618
18143,24193,23945,23784,23852,23712
18145,44322,44355,44382,44502,44579
